"_case_","_event_","min_completion_time"
"SACE","CHANGE DIAGN","2015/08/19 21:34:52.000"
"SADD","CHANGE DIAGN","2015/01/12 19:37:31.000"
"SAED","CHANGE DIAGN","2015/02/09 07:47:15.000"
"SALD","CHANGE DIAGN","2015/03/14 11:03:45.000"
"SBQD","CHANGE DIAGN","2015/06/01 18:21:20.000"
"SBYD","CHANGE DIAGN","2015/06/18 11:35:04.000"
"SCJD","CHANGE DIAGN","2015/03/28 10:56:21.000"
"SCKD","CHANGE DIAGN","2015/03/28 08:33:29.000"
"SCSD","CHANGE DIAGN","2015/05/19 09:39:51.000"
"SEFD","CHANGE DIAGN","2015/03/02 19:48:51.000"
"SEKE","CHANGE DIAGN","2015/10/06 11:32:48.000"
"SENE","CHANGE DIAGN","2015/11/11 17:53:14.000"
"SFAE","CHANGE DIAGN","2015/06/27 12:57:51.000"
"SFGE","CHANGE DIAGN","2015/09/10 18:29:53.000"
"SFHD","CHANGE DIAGN","2015/02/05 08:42:57.000"
"SFQD","CHANGE DIAGN","2015/04/29 15:08:05.000"
"SGPD","CHANGE DIAGN","2015/05/13 11:31:07.000"
"SGUD","CHANGE DIAGN","2015/05/22 12:43:01.000"
"SGYD","CHANGE DIAGN","2015/08/12 11:53:03.000"
"SHFE","CHANGE DIAGN","2015/09/09 14:29:46.000"
"SHJD","CHANGE DIAGN","2015/02/25 09:20:43.000"
"SICD","CHANGE DIAGN","2015/01/01 15:16:26.000"
"SIHD","CHANGE DIAGN","2015/02/12 11:33:09.000"
"SINE","CHANGE DIAGN","2015/12/08 08:53:25.000"
"SIPD","CHANGE DIAGN","2015/05/12 09:26:45.000"
"SITD","CHANGE DIAGN","2015/06/10 13:30:49.000"
"SJDE","CHANGE DIAGN","2015/08/01 21:40:51.000"
"SJHE","CHANGE DIAGN","2015/09/07 13:34:03.000"
"SJID","CHANGE DIAGN","2015/02/16 10:40:31.000"
"SJOD","CHANGE DIAGN","2015/04/03 13:08:09.000"
"SJZD","CHANGE DIAGN","2015/07/24 09:32:29.000"
"SKEE","CHANGE DIAGN","2015/09/03 17:54:46.000"
"SKHE","CHANGE DIAGN","2015/08/29 16:13:56.000"
"SKPD","CHANGE DIAGN","2015/05/30 14:40:29.000"
"SHDE","CHANGE DIAGN","2015/07/26 12:31:09.000"
"SHEE","CHANGE DIAGN","2015/08/13 16:15:36.000"
"SHWD","CHANGE DIAGN","2015/06/05 08:20:24.000"
"SICE","CHANGE DIAGN","2015/07/21 11:26:57.000"
"SIDD","CHANGE DIAGN","2015/02/04 22:06:18.000"
"SIRD","CHANGE DIAGN","2015/05/12 09:04:11.000"
"SIVD","CHANGE DIAGN","2015/06/22 10:27:17.000"
"SIYD","CHANGE DIAGN","2015/09/21 08:16:43.000"
"SJAD","CHANGE DIAGN","2015/01/19 12:54:51.000"
"SJGD","CHANGE DIAGN","2015/03/09 13:05:43.000"
"SJTD","CHANGE DIAGN","2015/07/01 10:08:52.000"
"SKDD","CHANGE DIAGN","2015/02/13 09:09:53.000"
"SKLD","CHANGE DIAGN","2015/04/18 13:24:50.000"
"SKRD","CHANGE DIAGN","2015/06/03 15:39:41.000"
"SKVD","CHANGE DIAGN","2015/06/25 09:39:16.000"
"SLKE","CHANGE DIAGN","2015/09/26 22:47:17.000"
"SLPD","CHANGE DIAGN","2015/04/20 17:14:55.000"
"SLQD","CHANGE DIAGN","2015/04/27 11:26:36.000"
"SMSD","CHANGE DIAGN","2015/06/16 09:41:16.000"
"SNCE","CHANGE DIAGN","2015/08/17 15:32:31.000"
"SNMD","CHANGE DIAGN","2015/05/04 15:03:10.000"
"SNZD","CHANGE DIAGN","2015/07/28 15:57:54.000"
"SOLE","CHANGE DIAGN","2015/10/16 11:40:44.000"
"SPCE","CHANGE DIAGN","2015/10/29 22:33:22.000"
"SPFE","CHANGE DIAGN","2015/08/25 10:47:11.000"
"SPQD","CHANGE DIAGN","2015/05/20 11:59:21.000"
"SPUD","CHANGE DIAGN","2015/06/02 09:09:21.000"
"SQBD","CHANGE DIAGN","2015/01/23 10:33:32.000"
"SQED","CHANGE DIAGN","2015/02/23 15:51:49.000"
"SRDD","CHANGE DIAGN","2015/02/15 09:14:42.000"
"SRED","CHANGE DIAGN","2015/01/26 16:10:59.000"
"SRFE","CHANGE DIAGN","2015/09/13 09:07:50.000"
"SRKE","CHANGE DIAGN","2015/10/03 13:06:22.000"
"SRLD","CHANGE DIAGN","2015/04/13 12:14:54.000"
"SRRD","CHANGE DIAGN","2015/05/13 11:16:18.000"
"SRSD","CHANGE DIAGN","2015/06/13 21:31:31.000"
"SSAD","CHANGE DIAGN","2015/01/16 08:14:06.000"
"SSBE","CHANGE DIAGN","2015/07/11 16:14:16.000"
"SSDE","CHANGE DIAGN","2015/09/04 15:24:58.000"
"SSGE","CHANGE DIAGN","2015/09/16 15:42:01.000"
"STCD","CHANGE DIAGN","2015/02/02 11:25:47.000"
"STHD","CHANGE DIAGN","2015/03/13 12:17:09.000"
"STSD","CHANGE DIAGN","2015/06/30 12:38:14.000"
"SUKE","CHANGE DIAGN","2015/10/24 10:06:53.000"
"SUOD","CHANGE DIAGN","2015/04/13 09:46:26.000"
"SUXD","CHANGE DIAGN","2015/06/19 09:16:37.000"
"SUZD","CHANGE DIAGN","2015/08/12 09:32:55.000"
"SVAD","CHANGE DIAGN","2015/01/01 11:21:28.000"
"SVGE","CHANGE DIAGN","2015/09/04 01:40:33.000"
"SVJD","CHANGE DIAGN","2015/03/08 14:17:30.000"
"SWBE","CHANGE DIAGN","2015/08/18 16:31:20.000"
"SWCD","CHANGE DIAGN","2015/01/03 15:15:11.000"
"SWMD","CHANGE DIAGN","2015/04/26 12:59:24.000"
"SXCE","CHANGE DIAGN","2015/08/24 17:24:02.000"
"SXKD","CHANGE DIAGN","2015/04/13 14:23:48.000"
"SXXD","CHANGE DIAGN","2015/07/21 09:23:01.000"
"SYAD","CHANGE DIAGN","2015/01/26 14:45:59.000"
"SYGE","CHANGE DIAGN","2015/09/02 17:56:00.000"
"SYPD","CHANGE DIAGN","2015/05/17 09:40:16.000"
"SYQD","CHANGE DIAGN","2015/05/04 17:43:32.000"
"SYUD","CHANGE DIAGN","2015/09/19 09:32:48.000"
"SZDE","CHANGE DIAGN","2015/08/07 17:21:05.000"
"SZGD","CHANGE DIAGN","2015/02/24 23:46:22.000"
"SZLE","CHANGE DIAGN","2015/11/14 15:37:56.000"
"SZPD","CHANGE DIAGN","2015/04/23 15:35:47.000"
"SZTD","CHANGE DIAGN","2015/06/19 14:57:51.000"
"SZYD","CHANGE DIAGN","2015/06/22 14:05:22.000"
"TAKD","CHANGE DIAGN","2015/04/04 12:38:17.000"
"TAND","CHANGE DIAGN","2015/04/26 11:14:34.000"
"TAZC","CHANGE DIAGN","2015/01/03 10:41:27.000"
"TBED","CHANGE DIAGN","2015/01/30 14:19:51.000"
"TBIE","CHANGE DIAGN","2015/09/10 15:05:47.000"
"TBJD","CHANGE DIAGN","2015/02/28 16:09:51.000"
"TBLD","CHANGE DIAGN","2015/04/07 14:39:58.000"
"TBXD","CHANGE DIAGN","2015/06/14 14:08:45.000"
"TCFD","CHANGE DIAGN","2015/03/27 10:55:44.000"
"TCGE","CHANGE DIAGN","2015/09/19 20:20:55.000"
"TCYD","CHANGE DIAGN","2015/06/19 09:28:25.000"
"TDFD","CHANGE DIAGN","2015/01/25 14:36:14.000"
"SKQD","CHANGE DIAGN","2015/05/28 10:34:37.000"
"SLLD","CHANGE DIAGN","2015/05/10 10:10:39.000"
"SLZD","CHANGE DIAGN","2015/06/30 13:38:36.000"
"SMND","CHANGE DIAGN","2015/04/29 12:10:00.000"
"SMYD","CHANGE DIAGN","2015/08/06 14:32:50.000"
"SNGD","CHANGE DIAGN","2015/02/06 13:03:29.000"
"SNSD","CHANGE DIAGN","2015/06/15 14:35:28.000"
"SNWD","CHANGE DIAGN","2015/06/05 18:18:35.000"
"SODE","CHANGE DIAGN","2015/07/31 16:41:19.000"
"SOMD","CHANGE DIAGN","2015/04/27 12:12:38.000"
"SOND","CHANGE DIAGN","2015/05/03 12:24:08.000"
"SORD","CHANGE DIAGN","2015/06/06 16:06:03.000"
"SPLD","CHANGE DIAGN","2015/04/06 12:15:45.000"
"SPOD","CHANGE DIAGN","2015/05/14 21:33:47.000"
"SQCD","CHANGE DIAGN","2015/02/25 15:02:21.000"
"SQFE","CHANGE DIAGN","2015/09/25 10:04:44.000"
"SQMD","CHANGE DIAGN","2015/03/27 08:16:54.000"
"SQPD","CHANGE DIAGN","2015/05/11 12:40:33.000"
"SQQD","CHANGE DIAGN","2015/04/23 18:26:17.000"
"SQYD","CHANGE DIAGN","2015/07/06 12:03:57.000"
"SRPD","CHANGE DIAGN","2015/05/31 10:40:18.000"
"SRUD","CHANGE DIAGN","2015/05/21 14:18:13.000"
"SRVD","CHANGE DIAGN","2015/07/03 18:17:10.000"
"SSCE","CHANGE DIAGN","2015/07/26 10:53:40.000"
"SSEE","CHANGE DIAGN","2015/08/07 17:24:58.000"
"SSXD","CHANGE DIAGN","2015/07/17 10:03:04.000"
"SSZD","CHANGE DIAGN","2015/07/26 12:29:10.000"
"STAE","CHANGE DIAGN","2015/08/07 21:07:00.000"
"STFD","CHANGE DIAGN","2015/03/03 17:28:25.000"
"STKE","CHANGE DIAGN","2015/09/26 16:45:54.000"
"SUGD","CHANGE DIAGN","2015/02/28 15:37:58.000"
"SUGE","CHANGE DIAGN","2015/09/04 09:44:14.000"
"SUWD","CHANGE DIAGN","2015/07/14 13:17:39.000"
"SVZD","CHANGE DIAGN","2015/07/24 16:12:59.000"
"SWJD","CHANGE DIAGN","2015/04/07 10:36:07.000"
"SWKD","CHANGE DIAGN","2015/03/09 08:51:47.000"
"SWND","CHANGE DIAGN","2015/05/01 23:24:10.000"
"SWVD","CHANGE DIAGN","2015/06/01 16:15:29.000"
"SWYD","CHANGE DIAGN","2015/06/19 00:46:13.000"
"SXAE","CHANGE DIAGN","2015/08/20 16:32:19.000"
"SXGD","CHANGE DIAGN","2015/03/02 11:55:14.000"
"SXID","CHANGE DIAGN","2015/03/21 10:08:51.000"
"SXLD","CHANGE DIAGN","2015/04/22 15:50:51.000"
"SXZC","CHANGE DIAGN","2015/01/07 14:01:37.000"
"SYBD","CHANGE DIAGN","2015/01/09 14:34:06.000"
"SYDE","CHANGE DIAGN","2015/07/30 13:09:06.000"
"SYID","CHANGE DIAGN","2015/03/18 12:49:12.000"
"SYOD","CHANGE DIAGN","2015/05/11 15:29:26.000"
"SZDD","CHANGE DIAGN","2015/01/19 14:38:45.000"
"SZEE","CHANGE DIAGN","2015/09/14 12:07:22.000"
"SZLD","CHANGE DIAGN","2015/04/21 21:18:01.000"
"TAFD","CHANGE DIAGN","2015/02/22 09:24:22.000"
"TAMD","CHANGE DIAGN","2015/04/17 16:15:59.000"
"TBEE","CHANGE DIAGN","2015/09/06 10:41:01.000"
"TBYD","CHANGE DIAGN","2015/06/20 11:40:39.000"
"TCJD","CHANGE DIAGN","2015/03/26 11:41:47.000"
"TCND","CHANGE DIAGN","2015/03/31 17:15:49.000"
"TCPD","CHANGE DIAGN","2015/04/18 15:51:05.000"
"TCSD","CHANGE DIAGN","2015/05/15 13:27:48.000"
"TDDE","CHANGE DIAGN","2015/07/23 10:16:37.000"
"TDHD","CHANGE DIAGN","2015/03/10 11:24:35.000"
"TDID","CHANGE DIAGN","2015/02/12 12:47:06.000"
"TDPD","CHANGE DIAGN","2015/04/10 13:41:48.000"
"TEJD","CHANGE DIAGN","2015/03/23 17:06:04.000"
"TFEE","CHANGE DIAGN","2015/08/29 09:59:13.000"
"TFHD","CHANGE DIAGN","2015/02/06 08:56:16.000"
"TGDD","CHANGE DIAGN","2015/01/07 11:50:45.000"
"TGFE","CHANGE DIAGN","2015/08/20 10:59:22.000"
"TGRD","CHANGE DIAGN","2015/06/06 15:25:03.000"
"THED","CHANGE DIAGN","2015/02/19 09:11:25.000"
"THEE","CHANGE DIAGN","2015/08/06 16:18:41.000"
"THJD","CHANGE DIAGN","2015/03/06 18:36:16.000"
"THTD","CHANGE DIAGN","2015/06/17 09:03:58.000"
"THUD","CHANGE DIAGN","2015/05/21 15:33:59.000"
"TIDD","CHANGE DIAGN","2015/01/11 12:54:08.000"
"TIYD","CHANGE DIAGN","2015/07/31 13:52:21.000"
"TJHD","CHANGE DIAGN","2015/02/17 18:06:31.000"
"TJID","CHANGE DIAGN","2015/03/17 11:08:32.000"
"TJIE","CHANGE DIAGN","2015/10/14 13:22:22.000"
"EMPD","CODE OK","2015/08/20 07:06:18.000"
"EMSD","CODE OK","2015/10/15 20:53:34.000"
"ENBD","CODE OK","2015/06/04 11:55:11.000"
"ENCD","CODE OK","2015/02/19 06:25:02.000"
"ENDE","CODE OK","2015/12/07 06:53:48.000"
"ENND","CODE OK","2015/08/04 05:50:02.000"
"ENWD","CODE OK","2015/09/06 06:24:50.000"
"EOFD","CODE OK","2015/06/27 05:45:21.000"
"EOFE","CODE OK","2015/09/20 07:09:58.000"
"EOGD","CODE OK","2015/05/20 05:43:22.000"
"EORD","CODE OK","2015/09/05 06:27:43.000"
"EOWD","CODE OK","2015/10/13 11:42:35.000"
"EPCE","CODE OK","2015/10/23 17:05:00.000"
"EPED","CODE OK","2015/05/28 05:49:52.000"
"EPND","CODE OK","2015/07/18 05:59:12.000"
"EPSD","CODE OK","2015/08/08 06:34:51.000"
"EPYD","CODE OK","2015/10/18 12:50:14.000"
"EPZC","CODE OK","2015/04/14 05:50:37.000"
"EQEE","CODE OK","2015/12/29 06:15:44.000"
"EQID","CODE OK","2015/06/28 06:28:56.000"
"EQJD","CODE OK","2015/08/25 10:54:28.000"
"EQKD","CODE OK","2015/07/14 06:01:10.000"
"EQOD","CODE OK","2015/05/30 06:38:21.000"
"EQTD","CODE OK","2015/09/13 07:13:14.000"
"ERBE","CODE OK","2015/09/29 08:26:16.000"
"ERFE","CODE OK","2015/12/17 06:08:46.000"
"ESAE","CODE OK","2015/10/22 06:31:26.000"
"ESJD","CODE OK","2015/06/12 06:47:23.000"
"ESTD","CODE OK","2015/09/19 05:56:59.000"
"ETHE","CODE OK","2016/01/09 06:34:33.000"
"ETMD","CODE OK","2015/07/30 06:34:04.000"
"ETND","CODE OK","2015/08/03 07:21:28.000"
"ETPD","CODE OK","2015/06/18 06:00:22.000"
"EUDD","CODE OK","2015/05/01 12:43:36.000"
"EUGD","CODE OK","2015/06/08 06:49:22.000"
"EUWD","CODE OK","2015/10/24 20:42:37.000"
"EUZD","CODE OK","2015/08/23 06:00:46.000"
"EVAD","CODE OK","2015/04/23 05:51:44.000"
"EVHD","CODE OK","2015/06/20 06:37:01.000"
"EVID","CODE OK","2015/07/03 06:30:40.000"
"EVJD","CODE OK","2015/06/11 05:52:26.000"
"EVTD","CODE OK","2015/09/27 06:58:45.000"
"EWHD","CODE OK","2015/05/30 06:27:04.000"
"EWJD","CODE OK","2015/08/13 05:51:10.000"
"EWTD","CODE OK","2015/07/10 06:45:25.000"
"EXJD","CODE OK","2015/04/26 06:03:02.000"
"EXTD","CODE OK","2015/09/20 07:10:30.000"
"EYAE","CODE OK","2015/11/09 06:26:36.000"
"EYED","CODE OK","2015/03/21 05:10:02.000"
"EYKE","CODE OK","2015/12/15 06:43:46.000"
"EYUD","CODE OK","2015/07/15 05:45:37.000"
"EZEE","CODE OK","2015/11/18 06:36:00.000"
"EZHD","CODE OK","2015/05/28 06:34:28.000"
"EZID","CODE OK","2015/05/29 05:51:05.000"
"EZKD","CODE OK","2015/05/19 06:13:04.000"
"EZOD","CODE OK","2015/10/11 07:51:35.000"
"FABD","CODE OK","2015/03/24 06:10:59.000"
"FAED","CODE OK","2015/05/13 05:41:09.000"
"FAFE","CODE OK","2015/12/16 06:27:21.000"
"FAGD","CODE OK","2015/06/12 05:45:27.000"
"FAND","CODE OK","2015/08/01 07:49:22.000"
"FBCD","CODE OK","2015/06/05 06:14:33.000"
"FBDE","CODE OK","2015/10/21 10:00:31.000"
"FBIE","CODE OK","2016/01/05 06:07:34.000"
"FCDD","CODE OK","2015/03/29 06:45:43.000"
"FCJE","CODE OK","2015/11/28 06:02:44.000"
"FCLD","CODE OK","2015/06/20 06:03:40.000"
"FCRD","CODE OK","2015/08/16 07:21:27.000"
"FCWD","CODE OK","2015/10/02 06:13:21.000"
"FDFD","CODE OK","2015/05/29 06:27:10.000"
"FDHD","CODE OK","2015/03/28 16:16:44.000"
"FDJD","CODE OK","2015/06/02 06:35:35.000"
"FDNE","CODE OK","2015/11/13 06:17:41.000"
"FDPD","CODE OK","2015/08/22 06:18:52.000"
"FDQD","CODE OK","2015/07/21 06:34:31.000"
"FDYD","CODE OK","2015/09/23 13:15:39.000"
"FEAE","CODE OK","2015/09/05 07:40:40.000"
"FEID","CODE OK","2015/06/05 06:13:30.000"
"FEKD","CODE OK","2015/06/07 06:46:02.000"
"FELE","CODE OK","2015/11/25 06:20:44.000"
"FFCD","CODE OK","2015/05/08 05:39:39.000"
"FFKD","CODE OK","2015/07/14 06:22:10.000"
"FFKE","CODE OK","2015/09/26 08:18:39.000"
"FFPD","CODE OK","2015/08/15 06:09:09.000"
"FFQD","CODE OK","2015/08/04 07:15:24.000"
"FFXD","CODE OK","2015/11/25 06:39:11.000"
"FGAE","CODE OK","2015/11/14 06:30:28.000"
"FGEE","CODE OK","2015/11/15 06:40:23.000"
"FGKD","CODE OK","2015/07/03 06:23:25.000"
"FGLE","CODE OK","2015/11/20 06:18:17.000"
"TDKD","CHANGE DIAGN","2015/03/05 14:53:15.000"
"TECE","CHANGE DIAGN","2015/07/17 11:12:43.000"
"TEFE","CHANGE DIAGN","2015/09/07 15:33:55.000"
"TEHD","CHANGE DIAGN","2015/02/14 17:05:05.000"
"TELD","CHANGE DIAGN","2015/04/03 13:11:06.000"
"TEOD","CHANGE DIAGN","2015/04/25 10:35:35.000"
"TFDD","CHANGE DIAGN","2015/01/13 11:07:03.000"
"TFFE","CHANGE DIAGN","2015/09/11 07:47:31.000"
"TFHE","CHANGE DIAGN","2015/08/30 16:47:48.000"
"TFND","CHANGE DIAGN","2015/04/29 10:56:01.000"
"TFZD","CHANGE DIAGN","2015/07/09 11:16:48.000"
"TGED","CHANGE DIAGN","2015/01/20 13:43:50.000"
"TGJD","CHANGE DIAGN","2015/03/30 18:59:54.000"
"TGLD","CHANGE DIAGN","2015/04/16 12:33:57.000"
"TGNE","CHANGE DIAGN","2015/11/08 01:04:45.000"
"THWD","CHANGE DIAGN","2015/07/11 09:12:03.000"
"TIHE","CHANGE DIAGN","2015/11/02 16:56:58.000"
"TIJD","CHANGE DIAGN","2015/03/08 11:58:15.000"
"TJGD","CHANGE DIAGN","2015/01/29 14:26:28.000"
"TJGE","CHANGE DIAGN","2015/11/07 12:18:12.000"
"TJMD","CHANGE DIAGN","2015/04/14 12:31:57.000"
"TJSD","CHANGE DIAGN","2015/06/03 15:00:57.000"
"TJZD","CHANGE DIAGN","2015/07/04 15:53:18.000"
"TKMD","CHANGE DIAGN","2015/06/26 12:12:04.000"
"TKXD","CHANGE DIAGN","2015/07/07 13:26:22.000"
"TLDD","CHANGE DIAGN","2015/01/14 13:41:44.000"
"TLND","CHANGE DIAGN","2015/04/06 11:00:59.000"
"TLPD","CHANGE DIAGN","2015/05/14 10:18:38.000"
"TLZD","CHANGE DIAGN","2015/06/30 09:19:57.000"
"TMHD","CHANGE DIAGN","2015/03/15 11:00:21.000"
"TMOD","CHANGE DIAGN","2015/06/07 15:20:19.000"
"TMQD","CHANGE DIAGN","2015/04/25 16:15:48.000"
"TMRD","CHANGE DIAGN","2015/05/23 17:03:33.000"
"TMWD","CHANGE DIAGN","2015/07/06 22:38:10.000"
"TMYD","CHANGE DIAGN","2015/07/22 14:50:47.000"
"TNHE","CHANGE DIAGN","2015/10/03 23:59:53.000"
"TNSD","CHANGE DIAGN","2015/05/13 14:36:10.000"
"TNUD","CHANGE DIAGN","2015/06/23 13:23:45.000"
"TOLD","CHANGE DIAGN","2015/06/11 13:49:47.000"
"TORD","CHANGE DIAGN","2015/06/01 17:32:33.000"
"TPFE","CHANGE DIAGN","2015/09/11 21:51:18.000"
"TPHE","CHANGE DIAGN","2015/09/09 17:19:26.000"
"TPSD","CHANGE DIAGN","2015/05/08 09:11:10.000"
"TQED","CHANGE DIAGN","2015/03/12 17:12:14.000"
"TQLD","CHANGE DIAGN","2015/03/23 14:35:03.000"
"TQQD","CHANGE DIAGN","2015/05/30 16:10:11.000"
"TRED","CHANGE DIAGN","2015/02/17 16:39:08.000"
"TRFE","CHANGE DIAGN","2015/09/30 09:29:59.000"
"TRKE","CHANGE DIAGN","2015/10/28 14:21:39.000"
"TSDD","CHANGE DIAGN","2015/02/09 10:51:14.000"
"TSEE","CHANGE DIAGN","2015/11/03 08:57:20.000"
"TSGD","CHANGE DIAGN","2015/02/06 01:57:30.000"
"TSMD","CHANGE DIAGN","2015/03/23 14:22:34.000"
"TSND","CHANGE DIAGN","2015/04/02 15:00:59.000"
"TSVD","CHANGE DIAGN","2015/07/01 14:41:33.000"
"TSZD","CHANGE DIAGN","2015/07/06 11:34:47.000"
"TTBE","CHANGE DIAGN","2015/07/11 16:32:50.000"
"TTHE","CHANGE DIAGN","2015/09/29 07:57:54.000"
"TTLD","CHANGE DIAGN","2015/05/20 17:17:00.000"
"TTYC","CHANGE DIAGN","2015/01/05 12:00:40.000"
"TUCD","CHANGE DIAGN","2015/02/01 23:17:10.000"
"TUSD","CHANGE DIAGN","2015/05/10 19:36:24.000"
"TUUD","CHANGE DIAGN","2015/07/01 09:37:46.000"
"TVFD","CHANGE DIAGN","2015/01/25 21:26:24.000"
"TVTD","CHANGE DIAGN","2015/05/25 11:33:02.000"
"TWLD","CHANGE DIAGN","2015/04/16 11:30:05.000"
"TWRD","CHANGE DIAGN","2015/06/01 12:49:55.000"
"TXEE","CHANGE DIAGN","2015/09/13 13:51:36.000"
"TXKD","CHANGE DIAGN","2015/04/11 15:56:20.000"
"TXSD","CHANGE DIAGN","2015/06/18 09:44:52.000"
"TYGE","CHANGE DIAGN","2015/11/12 23:35:23.000"
"TYKE","CHANGE DIAGN","2015/10/11 16:54:14.000"
"TZDD","CHANGE DIAGN","2015/02/13 14:57:52.000"
"TZEE","CHANGE DIAGN","2015/09/06 09:01:15.000"
"TZLE","CHANGE DIAGN","2015/10/17 16:41:28.000"
"TZMD","CHANGE DIAGN","2015/04/29 21:34:42.000"
"UAGD","CHANGE DIAGN","2015/01/30 15:04:54.000"
"UAID","CHANGE DIAGN","2015/02/22 14:04:39.000"
"UAJE","CHANGE DIAGN","2015/10/18 08:42:36.000"
"FGME","CODE OK","2015/12/04 06:45:06.000"
"FGTD","CODE OK","2015/07/24 06:14:24.000"
"FGUD","CODE OK","2015/09/03 06:00:05.000"
"FGVD","CODE OK","2015/06/02 06:43:35.000"
"FHCD","CODE OK","2015/02/08 05:50:47.000"
"FHKD","CODE OK","2015/07/01 06:03:57.000"
"FHKE","CODE OK","2015/10/30 06:40:53.000"
"FHXD","CODE OK","2015/11/09 06:30:31.000"
"FIBE","CODE OK","2015/11/18 06:40:51.000"
"FIFE","CODE OK","2015/11/15 06:09:14.000"
"FIKD","CODE OK","2015/06/09 12:06:35.000"
"FITD","CODE OK","2015/09/10 06:02:09.000"
"FIUD","CODE OK","2015/08/30 07:10:01.000"
"FJHD","CODE OK","2015/05/12 05:56:15.000"
"FJJD","CODE OK","2015/07/03 05:58:22.000"
"FJJE","CODE OK","2015/11/29 06:09:59.000"
"FKAD","CODE OK","2015/04/19 06:07:21.000"
"FKED","CODE OK","2015/04/25 06:14:28.000"
"FKEE","CODE OK","2015/10/05 06:14:07.000"
"FKGD","CODE OK","2015/07/07 05:48:40.000"
"FKGE","CODE OK","2015/12/30 06:19:27.000"
"FKLD","CODE OK","2015/08/05 05:52:00.000"
"FKWD","CODE OK","2015/10/31 07:49:10.000"
"FLFE","CODE OK","2015/10/19 08:05:24.000"
"FLJD","CODE OK","2015/03/31 16:56:04.000"
"FLJE","CODE OK","2015/12/19 06:18:51.000"
"FLPD","CODE OK","2015/07/25 05:45:11.000"
"FLYD","CODE OK","2015/12/06 15:57:13.000"
"FMFD","CODE OK","2015/06/05 06:13:28.000"
"FMKD","CODE OK","2015/06/05 06:14:21.000"
"FMPD","CODE OK","2015/06/21 06:20:34.000"
"FNDE","CODE OK","2015/12/30 06:51:45.000"
"FNID","CODE OK","2015/07/20 05:57:36.000"
"FNIE","CODE OK","2015/11/08 08:43:46.000"
"FNUD","CODE OK","2015/06/21 05:52:38.000"
"FOAE","CODE OK","2015/08/14 14:58:26.000"
"FODE","CODE OK","2016/01/04 06:31:03.000"
"FOMD","CODE OK","2015/05/19 06:20:28.000"
"FORD","CODE OK","2015/09/03 07:19:43.000"
"FPCD","CODE OK","2015/04/18 06:14:00.000"
"FPCE","CODE OK","2015/08/19 06:02:48.000"
"FPFE","CODE OK","2015/12/30 05:59:10.000"
"FPKD","CODE OK","2015/06/16 06:41:47.000"
"FPKE","CODE OK","2015/11/07 05:19:18.000"
"FPQD","CODE OK","2015/08/23 07:41:12.000"
"FQED","CODE OK","2015/03/03 06:25:47.000"
"FQFE","CODE OK","2015/12/22 09:58:27.000"
"FQGD","CODE OK","2015/06/10 05:57:13.000"
"FQNE","CODE OK","2015/11/23 06:27:40.000"
"FQSD","CODE OK","2015/06/23 05:59:37.000"
"FRBD","CODE OK","2015/03/12 05:46:32.000"
"FRJD","CODE OK","2015/05/24 05:49:28.000"
"FRND","CODE OK","2015/08/12 07:17:45.000"
"FRYD","CODE OK","2015/10/01 06:20:56.000"
"FSED","CODE OK","2015/06/25 05:51:02.000"
"FSEE","CODE OK","2015/11/13 06:07:18.000"
"FSGD","CODE OK","2015/06/09 06:03:37.000"
"FSGE","CODE OK","2015/12/29 06:04:19.000"
"FSSD","CODE OK","2015/09/18 07:28:26.000"
"FSWD","CODE OK","2015/07/05 06:07:10.000"
"FSZD","CODE OK","2015/10/09 08:19:24.000"
"FTBE","CODE OK","2015/10/25 06:47:46.000"
"FTGE","CODE OK","2015/09/25 06:06:45.000"
"FTKD","CODE OK","2015/07/11 05:57:02.000"
"FTQD","CODE OK","2015/07/17 10:12:36.000"
"FTVD","CODE OK","2015/09/02 06:53:49.000"
"FTXD","CODE OK","2015/09/15 06:09:59.000"
"FUBE","CODE OK","2015/11/24 09:56:31.000"
"FUDD","CODE OK","2015/02/16 05:57:37.000"
"FUGE","CODE OK","2015/08/22 08:38:08.000"
"FULD","CODE OK","2015/06/21 06:12:57.000"
"FUTD","CODE OK","2015/09/18 13:10:55.000"
"FUWD","CODE OK","2015/08/12 06:05:59.000"
"FVED","CODE OK","2015/02/19 14:49:03.000"
"FVWD","CODE OK","2015/09/29 13:12:59.000"
"FVYC","CODE OK","2015/04/11 07:11:52.000"
"FVZD","CODE OK","2015/10/09 08:52:44.000"
"FWBE","CODE OK","2015/10/25 06:25:47.000"
"FWGD","CODE OK","2015/06/17 05:44:30.000"
"FWSD","CODE OK","2015/10/20 13:10:19.000"
"FWWD","CODE OK","2015/07/28 06:33:36.000"
"FWZD","CODE OK","2015/08/15 07:00:36.000"
"FXAD","CODE OK","2015/04/27 05:48:19.000"
"FXBE","CODE OK","2015/10/23 07:27:18.000"
"FXEE","CODE OK","2015/11/25 10:17:12.000"
"FXGD","CODE OK","2015/03/21 06:23:37.000"
"FXLD","CODE OK","2015/06/06 05:58:44.000"
"FXMD","CODE OK","2015/07/29 05:54:44.000"
"FXWD","CODE OK","2015/11/09 06:43:30.000"
"FYAE","CODE OK","2015/10/14 09:47:07.000"
"FYBD","CODE OK","2015/04/13 06:03:19.000"
"FYFD","CODE OK","2015/07/07 06:48:44.000"
